location,year_week,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations
Australia,2022-08-08/2022-08-14,200397.0,526.0,9374876.0,14127.0,,,62766146.0
Australia,2022-08-15/2022-08-21,139178.0,375.0,9514054.0,14502.0,,,62926030.0
Australia,2022-08-22/2022-08-28,103184.0,329.0,9617238.0,14831.0,,,63011373.0
Australia,2022-08-29/2022-09-04,79985.0,240.0,9697223.0,15071.0,,,
Australia,2022-09-05/2022-09-11,63392.0,214.0,9760615.0,15285.0,,,
Australia,2022-09-12/2022-09-18,51273.0,184.0,9811888.0,15469.0,,,
Australia,2022-09-19/2022-09-25,43401.0,147.0,9855289.0,15616.0,,,
Australia,2022-09-26/2022-10-02,37578.0,113.0,9892867.0,15729.0,,,
Australia,2022-10-03/2022-10-09,38674.0,102.0,9931541.0,15831.0,,,
Australia,2022-10-10/2022-10-16,31327.0,74.0,9962868.0,15905.0,,,
Australia,2022-10-17/2022-10-23,29620.0,103.0,9992488.0,16008.0,,,
Australia,2022-10-24/2022-10-30,30363.0,85.0,10022851.0,16093.0,,,
Australia,2022-10-31/2022-11-06,35763.0,111.0,10058614.0,16204.0,,,63179861.0
Australia,2022-11-07/2022-11-13,52310.0,116.0,10110924.0,16320.0,,,63236277.0
Australia,2022-11-14/2022-11-20,73573.0,154.0,10184497.0,16474.0,,,63332108.0
Australia,2022-11-21/2022-11-27,83407.0,178.0,10267904.0,16652.0,,,63406631.0
Australia,2022-11-28/2022-12-04,97897.0,259.0,10365801.0,16911.0,,,63460368.0
Australia,2022-12-05/2022-12-11,107902.0,272.0,10473703.0,17183.0,,,63505559.0
Australia,2022-12-12/2022-12-18,112016.0,299.0,10585719.0,17482.0,,,63548762.0
Australia,2022-12-19/2022-12-25,108322.0,334.0,10694041.0,17816.0,,,63583562.0
Australia,2022-12-26/2023-01-01,91518.0,1094.0,10785559.0,18910.0,,,
Australia,2023-01-02/2023-01-08,86989.0,0.0,10872548.0,18910.0,,,63611887.0
Australia,2023-01-09/2023-01-15,46003.0,0.0,10918551.0,18910.0,,,63634307.0
Australia,2023-01-16/2023-01-22,30909.0,0.0,10949460.0,18910.0,,,63654606.0
Australia,2023-01-23/2023-01-29,22041.0,0.0,10971501.0,18910.0,,,63668170.0
Australia,2023-01-30/2023-02-05,18922.0,1161.0,10990423.0,20071.0,,,63681652.0
Australia,2023-02-06/2023-02-12,17067.0,96.0,11007490.0,20167.0,,,
Australia,2023-02-13/2023-02-19,17927.0,89.0,11025417.0,20256.0,,,
Australia,2023-02-20/2023-02-26,17814.0,90.0,11043231.0,20346.0,,,
Australia,2023-02-27/2023-03-05,18262.0,78.0,11061493.0,20424.0,,,
Australia,2023-03-06/2023-03-12,19780.0,78.0,11081273.0,20502.0,,,
Australia,2023-03-13/2023-03-19,21681.0,88.0,11102954.0,20590.0,,,
Australia,2023-03-20/2023-03-26,23014.0,93.0,11125968.0,20683.0,,,65492360.0
Australia,2023-03-27/2023-04-02,25521.0,103.0,11151489.0,20786.0,,,
Australia,2023-04-03/2023-04-09,27650.0,123.0,11179139.0,20909.0,,,
Australia,2023-04-10/2023-04-16,27055.0,131.0,11206194.0,21040.0,,,
Australia,2023-04-17/2023-04-23,29966.0,146.0,11236160.0,21186.0,,,
Australia,2023-04-24/2023-04-30,29431.0,155.0,11265591.0,21341.0,,,
Australia,2023-05-01/2023-05-07,29663.0,173.0,11295254.0,21514.0,,,
Australia,2023-05-08/2023-05-14,31859.0,173.0,11327113.0,21687.0,,,
Australia,2023-05-15/2023-05-21,37720.0,170.0,11364833.0,21857.0,,,
Australia,2023-05-22/2023-05-28,41012.0,213.0,11405845.0,22070.0,,,
Australia,2023-05-29/2023-06-04,39051.0,232.0,11444896.0,22302.0,,,
Australia,2023-06-05/2023-06-11,33125.0,226.0,11478021.0,22528.0,,,
Australia,2023-06-12/2023-06-18,22769.0,183.0,11500790.0,22711.0,,,
Australia,2023-06-19/2023-06-25,16822.0,59.0,11517612.0,22770.0,,,
Australia,2023-06-26/2023-07-02,13551.0,0.0,11531163.0,22770.0,,,
Australia,2023-07-03/2023-07-09,10511.0,0.0,11541674.0,22770.0,,,68247343.0
Australia,2023-07-10/2023-07-16,7826.0,0.0,11549500.0,22770.0,,,
Australia,2023-07-17/2023-07-23,6495.0,0.0,11555995.0,22770.0,,,
Australia,2023-07-24/2023-07-30,5525.0,85.0,11561520.0,22779.0,,,
Australia,2023-07-31/2023-08-06,5410.0,60.0,11566930.0,22839.0,,,68480571.0
Australia,2023-08-07/2023-08-13,5116.0,67.0,11572046.0,22906.0,,,
Australia,2023-08-14/2023-08-20,5194.0,56.0,11577240.0,22962.0,,,
Australia,2023-08-21/2023-08-27,5176.0,53.0,11582416.0,23015.0,,,
Australia,2023-08-28/2023-09-03,5491.0,39.0,11587907.0,23054.0,,,
Australia,2023-09-04/2023-09-10,5033.0,40.0,11592940.0,23094.0,,,68653247.0
Australia,2023-09-11/2023-09-17,5017.0,38.0,11597957.0,23132.0,,,
Australia,2023-09-18/2023-09-24,5189.0,37.0,11603146.0,23169.0,,,
Australia,2023-09-25/2023-10-01,5393.0,33.0,11608539.0,23202.0,,,
Australia,2023-10-02/2023-10-08,5561.0,78.0,11614100.0,23280.0,,,68770769.0
Australia,2023-10-09/2023-10-15,4691.0,45.0,11618791.0,23325.0,,,
Australia,2023-10-16/2023-10-22,5358.0,52.0,11624149.0,23377.0,,,
Australia,2023-10-23/2023-10-29,6347.0,72.0,11630496.0,23449.0,,,
Australia,2023-10-30/2023-11-05,7687.0,51.0,11638183.0,23500.0,,,
Australia,2023-11-06/2023-11-12,10293.0,113.0,11648476.0,23613.0,,,
Australia,2023-11-13/2023-11-19,10799.0,91.0,11659275.0,23704.0,,,
Australia,2023-11-20/2023-11-26,10282.0,89.0,11669557.0,23793.0,,,
Australia,2023-11-27/2023-12-03,9620.0,152.0,11679177.0,23945.0,,,
Australia,2023-12-04/2023-12-10,9981.0,172.0,11689158.0,24117.0,,,69306345.0
Australia,2023-12-11/2023-12-17,10497.0,92.0,11699655.0,24209.0,,,
Australia,2023-12-18/2023-12-24,11146.0,64.0,11710801.0,24273.0,,,
Australia,2023-12-25/2023-12-31,10734.0,71.0,11721535.0,24344.0,,,69686752.0
Australia,2024-01-01/2024-01-07,9818.0,63.0,11731353.0,24407.0,,,
Australia,2024-01-08/2024-01-14,11054.0,60.0,11742407.0,24467.0,,,
Australia,2024-01-15/2024-01-21,10792.0,137.0,11753199.0,24604.0,,,
Australia,2024-01-22/2024-01-28,9043.0,53.0,11762242.0,24657.0,,,
Australia,2024-01-29/2024-02-04,7918.0,53.0,11770160.0,24710.0,,,
Australia,2024-02-05/2024-02-11,8100.0,75.0,11778260.0,24785.0,,,
Australia,2024-02-12/2024-02-18,7461.0,58.0,11785721.0,24843.0,,,
Australia,2024-02-19/2024-02-25,7398.0,40.0,11793119.0,24883.0,,,
Australia,2024-02-26/2024-03-03,7388.0,42.0,11800507.0,24925.0,,,
Australia,2024-03-04/2024-03-10,6719.0,33.0,11807226.0,24958.0,,,
Australia,2024-03-11/2024-03-17,6514.0,0.0,11813740.0,24958.0,,,
Australia,2024-03-18/2024-03-24,5201.0,47.0,11818941.0,25005.0,,,
Australia,2024-03-25/2024-03-31,4698.0,34.0,11823639.0,25039.0,,,
Australia,2024-04-01/2024-04-07,4281.0,51.0,11827920.0,25090.0,,,
Australia,2024-04-08/2024-04-14,4522.0,41.0,11832442.0,25131.0,,,
