location,year_month,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations
Italy,2021-08,211619.0,1114.0,4524292.0,129056.0,42819383.0,36765312.0,78133143.0
Italy,2021-09,132923.0,1597.0,4657215.0,130653.0,45380153.0,41036087.0,85043025.0
Italy,2021-10,110225.0,1421.0,4767440.0,132074.0,46759208.0,43101932.0,90073352.0
Italy,2021-11,227451.0,1553.0,4994891.0,133627.0,47361547.0,44054236.0,96739702.0
Italy,2021-12,627540.0,2903.0,5622431.0,136530.0,48486482.0,44709912.0,111400252.0
Italy,2022-01,5198944.0,9384.0,10821375.0,145914.0,50293143.0,46071120.0,128454068.0
Italy,2022-02,1911305.0,8502.0,12732680.0,154416.0,50717107.0,47436768.0,134204348.0
Italy,2022-03,1571431.0,4284.0,14304111.0,158700.0,50816906.0,47780183.0,136007970.0
Italy,2022-04,1775098.0,3909.0,16079209.0,162609.0,50848686.0,47856416.0,136904313.0
Italy,2022-05,1294532.0,3933.0,17373741.0,166542.0,50868931.0,47884006.0,137891607.0
Italy,2022-06,811176.0,1516.0,18184917.0,168058.0,50882174.0,47898746.0,138385623.0
Italy,2022-07,2817856.0,3945.0,21002773.0,172003.0,50896262.0,47910663.0,139715452.0
Italy,2022-08,786089.0,3303.0,21788862.0,175306.0,50905884.0,47919696.0,140450197.0
Italy,2022-09,495950.0,1561.0,22284812.0,176867.0,50913522.0,47926572.0,140896187.0
Italy,2022-10,1246211.0,2234.0,23531023.0,179101.0,50920014.0,47932044.0,142199651.0
Italy,2022-11,796641.0,2170.0,24327664.0,181271.0,50925205.0,47936474.0,143322451.0
Italy,2022-12,732839.0,2897.0,25060503.0,184168.0,50928933.0,47939988.0,144048328.0
Italy,2023-01,404297.0,2736.0,25464800.0,186904.0,50932342.0,47942337.0,144439112.0
Italy,2023-02,120360.0,1270.0,25585160.0,188174.0,50933948.0,47944159.0,144540116.0
Italy,2023-03,94988.0,800.0,25680148.0,188974.0,50935107.0,47945368.0,144579659.0
Italy,2023-04,115361.0,812.0,25795509.0,189786.0,50935703.0,47946019.0,144592112.0
Italy,2023-05,66303.0,654.0,25861812.0,190440.0,50936157.0,47946540.0,144601007.0
