location,year_week,new_cases,positivity_rate,people_vaccinated,cases_norm,positivity_z,vacc_norm,risk_score,risk_level
Australia,2022-05-16/2022-05-22,311716.0,0.5708142857142857,,1.0284920908827553,2.776732703290173,,1.4861024915929382,High
Australia,2022-05-23/2022-05-29,240429.0,0.4919142857142857,,0.7932840307165817,2.3211067388378526,,1.2090293739515392,High
Australia,2022-05-30/2022-06-05,199964.0,0.4268857142857142,,0.6597716910947121,1.9455844882155526,,1.0108404164227995,High
Australia,2022-06-06/2022-06-12,184472.0,0.4159857142857143,,0.6086565751816514,1.882639963341912,,0.9632522747604948,High
Australia,2022-06-13/2022-06-19,191043.0,0.4207285714285714,,0.6303372766188269,1.9100286687915167,,0.9836786723864442,High
Australia,2022-06-20/2022-06-26,204308.0,0.4248333333333333,,0.6741045121330762,1.933732548407541,,1.0138586480091774,High
Australia,2022-06-27/2022-07-03,0.0,,,0.0,,,0.0,Low
Australia,2022-07-04/2022-07-10,243697.0,,,0.8040666410189238,,,0.4020333205094619,Low
Australia,2022-07-11/2022-07-17,271605.0,,,0.8961477573952276,,,0.4480738786976138,Low
Australia,2022-07-18/2022-07-24,303029.0,,,0.9998297482583841,,,0.49991487412919206,Moderate
Australia,2022-07-25/2022-07-31,319779.0,,,1.0550955752364224,,,0.5275477876182112,Moderate
Australia,2022-08-01/2022-08-07,259334.0,,,0.8556601775237347,,,0.42783008876186734,Low
Australia,2022-08-08/2022-08-14,200397.0,,,0.6612003539652489,,,0.33060017698262445,Low
Australia,2022-08-15/2022-08-21,139178.0,,,0.45921118012832235,,,0.22960559006416117,Low
Australia,2022-08-22/2022-08-28,103184.0,,,0.34045069199414285,,,0.17022534599707143,Low
Australia,2022-08-29/2022-09-04,79985.0,,,0.2639066967664707,,,0.13195334838323536,Low
Australia,2022-09-05/2022-09-11,63392.0,,,0.20915888380846548,,,0.10457944190423274,Low
Australia,2022-09-12/2022-09-18,51273.0,,,0.16917282069522102,,,0.08458641034761051,Low
Australia,2022-09-19/2022-09-25,43401.0,,,0.1431995317417215,,,0.07159976587086075,Low
Australia,2022-09-26/2022-10-02,37578.0,,,0.12398682066750562,,,0.06199341033375281,Low
Australia,2022-10-03/2022-10-09,38674.0,,,0.1276030204506656,,,0.0638015102253328,Low
Australia,2022-10-10/2022-10-16,31327.0,,,0.10336194398453745,,,0.051680971992268725,Low
Australia,2022-10-17/2022-10-23,29620.0,,,0.09772977881131291,,,0.048864889405656455,Low
Australia,2022-10-24/2022-10-30,30363.0,,,0.10018127191248798,,,0.05009063595624399,Low
Australia,2022-10-31/2022-11-06,35763.0,,,0.1179983146397361,,,0.05899915731986805,Low
Australia,2022-11-07/2022-11-13,52310.0,,,0.17259435278932403,,,0.08629717639466201,Low
Australia,2022-11-14/2022-11-20,73573.0,,,0.24275060825404202,,,0.12137530412702101,Low
Australia,2022-11-21/2022-11-27,83407.0,,,0.275197422731775,,,0.1375987113658875,Low
Australia,2022-11-28/2022-12-04,97897.0,,,0.3230064873832242,,,0.1615032436916121,Low
Australia,2022-12-05/2022-12-11,107902.0,,,0.35601750821398664,,,0.17800875410699332,Low
Australia,2022-12-12/2022-12-18,112016.0,,,0.3695914552102642,,,0.1847957276051321,Low
Australia,2022-12-19/2022-12-25,108322.0,,,0.35740327820388373,,,0.17870163910194187,Low
Australia,2022-12-26/2023-01-01,91518.0,,,0.3019592807985731,,,0.15097964039928655,Low
Australia,2023-01-02/2023-01-08,86989.0,,,0.2870160610741829,,,0.14350803053709146,Low
Australia,2023-01-09/2023-01-15,46003.0,,,0.15178470677436962,,,0.07589235338718481,Low
Australia,2023-01-16/2023-01-22,30909.0,,,0.10198277289935417,,,0.05099138644967709,Low
Australia,2023-01-23/2023-01-29,22041.0,,,0.07272322939838446,,,0.03636161469919223,Low
