location,year_week,new_cases,positivity_rate,people_vaccinated,cases_norm,positivity_z,vacc_norm,risk_score,risk_level
Australia,2021-06-07/2021-06-13,58.0,0.0002,5000913.0,0.00019136823670007255,-0.5184090490399067,0.21995752528430468,-0.214341111838263,Low
Australia,2021-06-14/2021-06-20,87.0,0.0002,5509653.0,0.0002870523550501088,-0.5184090490399067,0.24307719033519198,-0.21776121953672106,Low
Australia,2021-06-21/2021-06-27,235.0,0.0002428571428571,5897308.0,0.0007753713038709836,-0.5181615607376515,0.2606941533326007,-0.22007298360613262,Low
Australia,2021-06-28/2021-07-04,276.0,0.0003,6348365.0,0.0009106488505037935,-0.517831576334644,0.2811924171979505,-0.2229645898715661,Low
Australia,2021-07-05/2021-07-11,549.0,0.0003857142857142,6798066.0,0.0018113993439368935,-0.5173365997301336,0.30162905770793413,-0.22540646888976842,Low
Australia,2021-07-12/2021-07-18,875.0,0.0008428571428571,7274900.0,0.002887020812285577,-0.514696724506075,0.3232987561096222,-0.22719515658742676,Low
Australia,2021-07-19/2021-07-25,1260.0,0.0008857142857142,7840804.0,0.004157309969691231,-0.5144492362038198,0.3490162364157851,-0.23033101314885907,Low
Australia,2021-07-26/2021-08-01,1667.0,0.0011142857142857,8445404.0,0.005500187078948637,-0.5131292985917901,0.37649225459750163,-0.2333189991572775,Low
Australia,2021-08-02/2021-08-08,2313.0,0.0014,9108510.0,0.007631633301504617,-0.5114793765767536,0.4066270751605273,-0.2361960264251905,Low
Australia,2021-08-09/2021-08-15,3613.0,0.0018142857142857,9905472.0,0.01192092136547176,-0.5090869896549508,0.4428449752633013,-0.2386467319859921,Low
Australia,2021-08-16/2021-08-22,6133.0,0.0028857142857142,10882390.0,0.02023554130485422,-0.5028997820985645,0.48724096720846527,-0.2389832981633402,Low
Australia,2021-08-23/2021-08-29,8140.0,0.0038428571428571,11956986.0,0.02685754218514811,-0.497372543348192,0.5360759312078034,-0.24106300876046363,Low
Australia,2021-08-30/2021-09-05,11094.0,0.0062,13023788.0,0.03660412444742422,-0.48376068672414096,0.5845566972486429,-0.23869768271703365,Low
Australia,2021-09-06/2021-09-12,12596.0,0.0080714285714285,13986743.0,0.04155990188748472,-0.4729536975256524,0.6283181413243538,-0.23900156438888906,Low
Australia,2021-09-13/2021-09-19,12301.0,0.0081428571428571,15044653.0,0.040586563442199866,-0.47254121702189317,0.6763948108490307,-0.2465553658639173,Low
