location,year_week,daily_vaccinations,daily_vaccinations_raw,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
India,2022-04-11/2022-04-17,9350610.0,6207745.0,3453936.0,0.03485714285714286,942.5714285714286,1862475218.0,997038307.0,841683688.0,23753223.0,131.42,70.35,59.39,1.68
India,2022-04-18/2022-04-24,9132417.0,6616165.0,2398132.0,0.024142857142857143,920.7142857142857,1875857737.0,1000351588.0,850179623.0,25326526.0,132.37,70.59,59.99,1.79
India,2022-04-25/2022-05-01,13383592.0,15080459.0,3065248.0,0.030857142857142857,1349.0,1890938196.0,1003626487.0,860357368.0,26954341.0,133.43,70.82,60.71,1.9
India,2022-05-02/2022-05-08,12273234.0,10476083.0,2530135.0,0.02542857142857143,1237.142857142857,1901414279.0,1005710091.0,867476230.0,28227958.0,134.17,70.97,61.21,1.99
India,2022-05-09/2022-05-15,11465813.0,10973645.0,2283099.0,0.023,1155.7142857142858,1912387924.0,1007875307.0,874993288.0,29519329.0,134.94,71.12,61.74,2.08
India,2022-05-16/2022-05-22,9739551.0,9689583.0,1810135.0,0.018285714285714287,981.8571428571429,1922077507.0,1009567798.0,881280667.0,31229042.0,135.63,71.24,62.19,2.2
India,2022-05-23/2022-05-29,10110715.0,9815397.0,1609177.0,0.016142857142857143,1019.1428571428571,1931892904.0,1011066751.0,887503757.0,33322396.0,136.32,71.34,62.62,2.35
India,2022-05-30/2022-06-05,8837562.0,8070053.0,1330470.0,0.013714285714285715,890.8571428571429,1939962957.0,1012178184.0,892593726.0,35191047.0,136.89,71.42,62.98,2.48
India,2022-06-06/2022-06-12,8840787.0,10028156.0,1167959.0,0.011714285714285715,891.4285714285714,1949991113.0,1013473564.0,899123575.0,37393974.0,137.6,71.51,63.44,2.64
India,2022-06-13/2022-06-19,10730286.0,10507589.0,1312642.0,0.013142857142857142,1081.7142857142858,1960498702.0,1014700077.0,905759251.0,40039374.0,138.34,71.6,63.91,2.83
